Date, Tournament, Rank, Winner_Name, Average
09/06/2009,Players Championship,PT,Jamie Caven,
09/27/2009,Emperors Palace South African Masters,U,Phil Taylor,
10/02/2009,World Grand Prix,MJ,Phil Taylor,98.42
10/03/2009,Players Championship,PT,Adrian Lewis,
10/04/2009,Players Championship,PT,Phil Taylor,
10/17/2009,Gleneagle Irish Masters,U,Phil Taylor,
10/18/2009,Players Championship,PT,Phil Taylor,
10/22/2009,Championship of Darts,U,Colin Osborne,
10/24/2009,Players Championship,PT,Steve Beaton,
10/25/2009,Oceanic Masters,U,Warren Parry,
10/25/2009,Players Championship,PT,James Wade,
11/01/2009,European Championship,MJ,Phil Taylor,111.54
11/06/2009,Grand Slam Qualifier,Q,Steve Maish,
11/07/2009,Players Championship,PT,Wes Newton,
11/08/2009,Players Championship,PT,Colin Osborne,
11/22/2009,Grand Slam,U,Phil Taylor,103.4
11/29/2009,PDC German Darts Championship,Premier Open,Phil Taylor,105.22
12/05/2009,Jocky Wilson Cup,U,,
01/03/2010,World Championship,WC,Phil Taylor,104.63
01/31/2010,Players Championship Finals,MJ,Paul Nicholson,94.48
02/06/2010,Players Championship,PT,Colin Lloyd,
02/07/2010,Players Championship,PT,Denis Ovens,
02/20/2010,Players Championship,PT,Mervyn King,
02/21/2010,UK Open Qualifier 1,PT,Mervyn King,
02/27/2010,Players Championship,PT,Phil Taylor,
02/28/2010,UK Open Qualifier 1,PT,Mark Walsh,
03/06/2010,Players Championship,PT,Vincent van der Voort,
03/07/2010,Players Championship,PT,Adrian Lewis,
03/13/2010,Players Championship,PT,Phil Taylor,
03/14/2010,UK Open Qualifier 1,PT,Phil Taylor,
03/20/2010,Players Championship,PT,Barrie Bates,
03/21/2010,UK Open Qualifier 1,PT,Gary Anderson,
04/10/2010,Players Championship,PT,Simon Whitlock,
04/11/2010,UK Open Qualifier 1,PT,Mark Walsh,
04/17/2010,Players Championship,PT,Simon Whitlock,
04/18/2010,UK Open Qualifier 1,PT,Phil Taylor,
04/24/2010,Players Championship,PT,Wes Newton,
04/25/2010,UK Open Qualifier 1,PT,Colin Lloyd,
05/08/2010,Players Championship,PT,Simon Whitlock,
05/08/2010,UK Open Qualifier 1,Q,,
05/09/2010,UK Open Qualifier 1,PT,James Wade,
05/15/2010,Players Championship,PT,Simon Whitlock,
05/16/2010,Players Championship,PT,Phil Taylor,
05/24/2010,Premier League,U,Phil Taylor,101.41
06/06/2010,UK Open,MJ,Phil Taylor,106.43
06/12/2010,Players Championship,PT,Gary Anderson,
06/13/2010,Players Championship,PT,Ronnie Baxter,
06/19/2010,Players Championship,PT,Vincent van der Voort,
06/20/2010,Players Championship,PT,Andy Smith,
06/26/2010,World Cricket Championship,U,Phil Taylor,
06/27/2010,PDC US Open,PT,Phil Taylor,
06/28/2010,Players Championship,PT,Gary Anderson,
06/29/2010,Players Championship,PT,Co Stompé,
06/30/2010,North American Darts Championship,U,John Part,
07/24/2010,PDC Womens World Championship,U,Stacey Bromberg,
07/25/2010,World Matchplay,MJ,Phil Taylor,106.3
08/15/2010,Oceanic Masters,U,Simon Whitlock,95
08/22/2010,Players Championship,PT,Dennis Priestley,
08/28/2010,Players Championship,PT,Jamie Caven,
08/29/2010,Players Championship,PT,Colin Lloyd,
09/04/2010,Players Championship,PT,Adrian Lewis,
09/05/2010,Players Championship,PT,Colin Lloyd,
09/18/2010,Players Championship,PT,James Wade,
09/19/2010,Players Championship,PT,Steve Farmer,
09/20/2010,European Championship,MJ,Phil Taylor,104.37
10/02/2010,Players Championship,PT,Simon Whitlock,
10/03/2010,Players Championship,PT,Jamie Caven,
10/10/2010,World Grand Prix,MJ,James Wade,86.09
10/14/2010,Championship of Darts,U,James Wade,
10/16/2010,Gleneagle Irish Masters,U,Simon Whitlock,
10/17/2010,Players Championship,PT,Gary Anderson,
10/23/2010,Players Championship,PT,Mark Webster,
10/24/2010,Players Championship,PT,Simon Whitlock,
10/30/2010,PDC Qualifying School Irish Qualifier,U,Shane O Connor,
11/05/2010,Grand Slam Qualifier,Q,,
11/06/2010,Players Championship,PT,Wes Newton,
11/07/2010,Players Championship,PT,Wes Newton,
11/21/2010,Grand Slam,U,Scott Waites,96.81
11/27/2010,Players Championship,PT,Phil Taylor,
11/28/2010,Players Championship,PT,Mark Walsh,
11/29/2010,World Championship Tour Card Holder Qualifier,Q,Alex Roy,
12/05/2010,World Cup,U,Netherlands,3
01/03/2011,World Championship,WC,Adrian Lewis,97.35
01/03/2011,World Youth Championship,-,Arron Monk,93.03
01/13/2011,PDC Tour Card Qualifying School,QS,,
01/14/2011,PDC Tour Card Qualifying School,QS,,
01/15/2011,PDC Tour Card Qualifying School,QS,,
01/16/2011,PDC Tour Card Qualifying School,QS,,
01/29/2011,Players Championship,PT,Mervyn King,
01/30/2011,Players Championship,PT,Ronnie Baxter,
02/06/2011,Players Championship Finals,MJ,Phil Taylor,99.02
02/19/2011,Development Tour,-,Adam Hunt,
02/19/2011,Players Championship,PT,Jamie Caven,
02/20/2011,Players Championship,PT,John Part,
02/26/2011,Development Tour,-,Shaun Griffiths,
02/26/2011,UK Open Qualifier 1,PT,Steve Brown,
02/27/2011,UK Open Qualifier 1,PT,Michael Smith,
03/12/2011,Development Tour,-,Ryan Harrington,
03/12/2011,UK Open Qualifier 1,PT,Adrian Lewis,
03/13/2011,UK Open Qualifier 1,PT,Vincent van der Voort,
03/21/2011,RTL7 Masters,U,Phil Taylor,107.48
03/26/2011,Development Tour,-,Paul Barham,
03/26/2011,Players Championship,PT,Paul Nicholson,
03/27/2011,Players Championship,PT,Wes Newton,
04/16/2011,Development Tour,-,Ricky Evans,
04/16/2011,UK Open Qualifier 1,PT,Gary Anderson,
04/17/2011,UK Open Qualifier 1,PT,Phil Taylor,
04/21/2011,UK Open Qualifier 1,Q,,
04/30/2011,Development Tour,-,Michael van Gerwen,
04/30/2011,UK Open Qualifier 1,PT,Gary Anderson,
05/01/2011,UK Open Qualifier 1,PT,Phil Taylor,
05/14/2011,Development Tour,-,Joe Cullen,
05/14/2011,Players Championship,PT,John Part,
05/15/2011,Players Championship,PT,Vincent van der Voort,
05/19/2011,Premier League,U,Gary Anderson,97.24
05/21/2011,Development Tour,-,Michael van Gerwen,
05/21/2011,Players Championship,PT,Gary Anderson,
05/22/2011,Players Championship,PT,Paul Nicholson,
06/05/2011,UK Open,MJ,James Wade,96.48
06/11/2011,Development Tour,-,Reece Robinson,
06/11/2011,Players Championship,PT,Paul Nicholson,
06/12/2011,Players Championship,PT,Andy Smith,
06/18/2011,Development Tour,-,Joe Cullen,
06/18/2011,Players Championship,PT,Gary Anderson,
06/19/2011,Players Championship,PT,Gary Anderson,
07/24/2011,World Matchplay,MJ,Phil Taylor,105.5
07/31/2011,European Championship,MJ,Phil Taylor,104.29
08/27/2011,Players Championship,PT,John Part,
08/28/2011,Players Championship,PT,Ronnie Baxter,
09/03/2011,Development Tour,-,Michael van Gerwen,
09/03/2011,Players Championship,PT,Raymond van Barneveld,
09/04/2011,Players Championship,PT,Gary Anderson,
09/24/2011,Development Tour,-,Paul Barham,
09/24/2011,Players Championship,PT,Gary Anderson,
09/25/2011,Players Championship,PT,Richie Burnett,
10/01/2011,Development Tour,-,Joe Cullen,
10/01/2011,Players Championship,PT,Phil Taylor,
10/02/2011,Players Championship,PT,Justin Pipe,
10/09/2011,World Grand Prix,MJ,Phil Taylor,96.37
10/15/2011,Development Tour,-,Michael van Gerwen,
10/15/2011,Gleneagle Irish Masters,U,Mark Walsh,
10/16/2011,Players Championship,PT,Justin Pipe,
10/20/2011,Championship of Darts,U,Phil Taylor,
10/22/2011,Development Tour,-,Paul Barham,
10/22/2011,Players Championship,PT,James Wade,
10/23/2011,Players Championship,PT,Colin Osborne,
10/29/2011,Players Championship,PT,James Wade,
10/30/2011,Oceanic Masters,U,Geoff Kime,
10/30/2011,Players Championship,PT,Mervyn King,
11/04/2011,Grand Slam Qualifier,Q,Nigel Heydon,
11/05/2011,Players Championship,PT,Justin Pipe,
11/06/2011,Players Championship,PT,Dave Chisnall,
11/20/2011,Grand Slam,U,Phil Taylor,104.14
11/26/2011,Players Championship,PT,Phil Taylor,
11/27/2011,Players Championship,PT,Phil Taylor,
11/28/2011,World Championship Tour Card Holder Qualifier,Q,Arron Monk,
12/11/2011,Players Championship Finals,MJ,Kevin Painter,93.39
01/03/2012,World Championship,WC,Adrian Lewis,94.94
01/19/2012,PDC Tour Card Qualifying School,QS,,
01/20/2012,PDC Tour Card Qualifying School,QS,,
01/21/2012,PDC Tour Card Qualifying School,QS,,
01/22/2012,PDC Tour Card Qualifying School,QS,,
01/28/2012,Players Championship,PT,Justin Pipe,97.19
01/29/2012,Players Championship,PT,Michael Smith,
02/05/2012,World Cup,U,,
02/11/2012,UK Open Qualifier 1,PT,Wes Newton,
02/12/2012,UK Open Qualifier 1,PT,Michael van Gerwen,108.03
03/10/2012,Players Championship,PT,Phil Taylor,113.54
03/11/2012,Players Championship,PT,Dave Chisnall,101.2
03/24/2012,UK Open Qualifier 1,PT,Phil Taylor,
03/25/2012,UK Open Qualifier 1,PT,Phil Taylor,
04/14/2012,UK Open Qualifier 1,PT,Raymond van Barneveld,
04/15/2012,UK Open Qualifier 1,PT,Raymond van Barneveld,
04/21/2012,Development Tour,-,Arron Monk,
04/21/2012,Development Tour,-,Michael Smith,
04/22/2012,Development Tour,-,Arron Monk,
04/29/2012,European Tour,ET,Justin Pipe,99.13
04/29/2012,European Tour EU Card Holder Qualifier,QE,,
04/29/2012,European Tour Home Nation Qualifier,QN,Mensur Suljović,
04/29/2012,European Tour UK Card Holder Qualifier,QU,,
05/05/2012,UK Open Qualifier 1,PT,Terry Jenkins,
05/06/2012,UK Open Qualifier 1,PT,Wes Newton,
05/17/2012,Premier League,U,Phil Taylor,105.99
05/17/2012,World Youth Championship,-,James Hubbard,95.18
05/19/2012,Development Tour,-,James Hubbard,
05/19/2012,Development Tour,-,Michael Smith,
05/20/2012,Development Tour,-,Arron Monk,
05/20/2012,UK Open Qualifier 1,Q,,
05/26/2012,Players Championship,PT,Dave Chisnall,106.68
05/27/2012,Players Championship,PT,Dave Chisnall,100.87
06/02/2012,Development Tour,-,Adam Smith-Neale,
06/02/2012,Development Tour,-,Chris Aubrey,
06/03/2012,Development Tour,-,Jamie Lewis,
06/10/2012,UK Open,MJ,Robert Thornton,94.37
06/16/2012,Players Championship,PT,Ronnie Baxter,
06/17/2012,Players Championship,PT,Michael van Gerwen,
06/24/2012,European Tour EU Card Holder Qualifier,QE,,
06/24/2012,European Tour Home Nation Qualifier,QN,,
06/24/2012,European Tour UK Card Holder Qualifier,QU,,
06/24/2012,PDC German Darts Championship,ET,Phil Taylor,104.21
06/30/2012,Players Championship,PT,Dave Chisnall,
07/01/2012,Players Championship,PT,Colin Lloyd,
07/08/2012,European Tour,ET,Raymond van Barneveld,97.06
07/08/2012,European Tour EU Card Holder Qualifier,QE,,
07/08/2012,European Tour Home Nation Qualifier,QN,,
07/08/2012,European Tour UK Card Holder Qualifier,QU,,
07/14/2012,Development Tour,-,Sam Hamilton,
07/14/2012,Development Tour,-,Arron Monk,
07/15/2012,Development Tour,-,James Hubbard,
07/29/2012,World Matchplay,MJ,Phil Taylor,100.44
08/04/2012,Development Tour,-,Jamie Lewis,
08/04/2012,Development Tour,-,Jamie Landon,
08/05/2012,Development Tour,-,Michael Smith,
09/09/2012,European Tour,ET,Adrian Lewis,98.15
09/09/2012,European Tour EU Card Holder Qualifier,QE,,
09/09/2012,European Tour Home Nation Qualifier,QN,,
09/09/2012,European Tour UK Card Holder Qualifier,QU,,
09/15/2012,Players Championship,PT,Michael van Gerwen,
09/16/2012,Players Championship,PT,Simon Whitlock,
09/23/2012,European Championship,MJ,Simon Whitlock,96.19
09/29/2012,Development Tour,-,Michael Smith,
09/29/2012,Development Tour,-,Keegan Brown,
09/30/2012,Development Tour,-,Michael Smith,
10/06/2012,Players Championship,PT,Michael van Gerwen,104.72
10/07/2012,Players Championship,PT,Robert Thornton,
10/14/2012,World Grand Prix,MJ,Michael van Gerwen,88.5
10/19/2012,Gleneagle Irish Masters,U,Gary Anderson,
10/20/2012,Players Championship,PT,Peter Wright,
10/21/2012,Players Championship,PT,Michael van Gerwen,
10/28/2012,European Tour,ET,Simon Whitlock,94.85
10/28/2012,European Tour EU Card Holder Qualifier,QE,,
10/28/2012,European Tour Home Nation Qualifier,QN,,
10/28/2012,European Tour UK Card Holder Qualifier,QU,,
11/01/2012,Championship of Darts,U,Phil Taylor,
11/03/2012,Development Tour,-,Arron Monk,
11/03/2012,Players Championship,PT,Simon Whitlock,
11/04/2012,Development Tour,-,Arron Monk,
11/04/2012,Players Championship,PT,Michael van Gerwen,
11/18/2012,Grand Slam,U,Raymond van Barneveld,96.29
11/24/2012,Players Championship,PT,Dave Chisnall,
11/25/2012,Players Championship,PT,Michael van Gerwen,
11/26/2012,World Championship Tour Card Holder Qualifier,Q,Stuart Kellett,
12/02/2012,Players Championship Finals,MJ,Phil Taylor,103.91
01/01/2013,World Championship,WC,Phil Taylor,97.45
01/17/2013,PDC Tour Card Qualifying School,QS,,
01/18/2013,PDC Tour Card Qualifying School,QS,,
01/19/2013,PDC Tour Card Qualifying School,QS,,
01/20/2013,PDC Tour Card Qualifying School,QS,,
01/31/2013,European Tour EU Card Holder Qualifier,QE,,
02/03/2013,World Cup,U,,
02/22/2013,European Tour UK Card Holder Qualifier,QU,,
02/23/2013,UK Open Qualifier 1,PT,Michael van Gerwen,
02/24/2013,UK Open Qualifier 1,PT,Michael van Gerwen,
03/10/2013,European Tour,ET,John Part,93.8
03/15/2013,European Tour UK Card Holder Qualifier,QU,,
03/16/2013,UK Open Qualifier 1,PT,Michael van Gerwen,
03/17/2013,UK Open Qualifier 1,PT,Robert Thornton,
03/23/2013,Challenge Tour,-,Rowby-John Rodriguez,
03/23/2013,Challenge Tour,-,Josh Payne,
03/24/2013,Challenge Tour,-,Kurt Parry,
03/29/2013,European Tour EU Card Holder Qualifier,QE,,
03/29/2013,European Tour Home Nation Qualifier,QN,,
04/01/2013,European Tour,ET,Wes Newton,93.54
04/13/2013,UK Open Qualifier 1,PT,Simon Whitlock,
04/14/2013,UK Open Qualifier 1,PT,Michael van Gerwen,
04/20/2013,Challenge Tour,-,Adam Hunt,
04/20/2013,Challenge Tour,-,Jamie Lewis,
04/21/2013,Challenge Tour,-,Ross Smith,
04/21/2013,European Tour Home Nation Qualifier,QN,,
04/24/2013,UK Open Qualifier 1,Q,,
04/26/2013,European Tour UK Card Holder Qualifier,QU,,
04/27/2013,UK Open Qualifier 1,PT,Kim Huybrechts,
04/28/2013,UK Open Qualifier 1,PT,Michael van Gerwen,
05/03/2013,European Tour UK Card Holder Qualifier,QU,,
05/04/2013,Players Championship,PT,Robert Thornton,
05/05/2013,Players Championship,PT,Michael van Gerwen,
05/11/2013,Challenge Tour,-,Ross Smith,
05/11/2013,Challenge Tour,-,Graham Hall,
05/12/2013,Challenge Tour,-,Benito van de Pas,
05/16/2013,European Tour EU Card Holder Qualifier,QE,,
05/16/2013,European Tour Home Nation Qualifier,QN,,
05/16/2013,Premier League,U,Michael van Gerwen,99.74
05/16/2013,World Youth Championship,-,Michael Smith,89.13
05/19/2013,European Tour,ET,Michael van Gerwen,
05/24/2013,Dubai Masters,U,Michael van Gerwen,
05/24/2013,European Tour UK Card Holder Qualifier,QU,,
05/25/2013,Players Championship,PT,Jamie Caven,
05/26/2013,Players Championship,PT,Jamie Caven,
05/30/2013,European Tour EU Card Holder Qualifier,QE,,
05/30/2013,European Tour Home Nation Qualifier,QN,,
06/02/2013,European Tour,ET,Michael van Gerwen,
06/09/2013,UK Open,MJ,Phil Taylor,106.81
06/21/2013,European Tour UK Card Holder Qualifier,QU,,
06/22/2013,Players Championship,PT,Peter Wright,
06/23/2013,Players Championship,PT,Michael van Gerwen,
06/27/2013,European Tour EU Card Holder Qualifier,QE,,
06/30/2013,European Tour,ET,Phil Taylor,
07/07/2013,European Championship,MJ,Adrian Lewis,99.36
07/12/2013,European Tour UK Card Holder Qualifier,QU,,
07/13/2013,Challenge Tour,-,Ben Ward,
07/13/2013,Challenge Tour,-,Ross Smith,
07/14/2013,Challenge Tour,-,Jan Dekker,
07/28/2013,World Matchplay,MJ,Phil Taylor,105.81
08/31/2013,Sydney Masters,U,Phil Taylor,109.06
09/05/2013,European Tour EU Card Holder Qualifier,QE,,
09/05/2013,European Tour Home Nation Qualifier,QN,,
09/07/2013,Challenge Tour,-,Ben Ward,
09/07/2013,Challenge Tour,-,Luke Woodhouse,
09/08/2013,Challenge Tour,-,Ricky Evans,
09/08/2013,PDC German Darts Championship,ET,Dave Chisnall,
09/14/2013,Players Championship,PT,Dave Chisnall,
09/15/2013,Players Championship,PT,Ian White,
09/19/2013,European Tour EU Card Holder Qualifier,QE,,
09/19/2013,European Tour Home Nation Qualifier,QN,,
09/23/2013,European Tour,ET,Steve Beaton,95.56
09/28/2013,Challenge Tour,-,Dimitri Van den Bergh,
09/28/2013,Challenge Tour,-,Matthew Dennant,
09/29/2013,Challenge Tour,-,Ross Smith,
10/04/2013,European Tour UK Card Holder Qualifier,QU,,
10/05/2013,Players Championship,PT,Adrian Lewis,
10/06/2013,Players Championship,PT,Raymond van Barneveld,
10/13/2013,World Grand Prix,MJ,Phil Taylor,95.35
10/18/2013,Gleneagle Irish Masters,U,Darren Webster,
10/19/2013,Players Championship,PT,Robert Thornton,
10/20/2013,Players Championship,PT,Kim Huybrechts,
10/24/2013,Championship of Darts,U,Phil Taylor,
10/24/2013,European Tour EU Card Holder Qualifier,QE,,
10/24/2013,European Tour Home Nation Qualifier,QN,,
10/27/2013,European Tour,ET,Kim Huybrechts,101.19
11/02/2013,Players Championship,PT,Brendan Dolan,101.57
11/03/2013,Masters,U,Phil Taylor,105.38
11/03/2013,Players Championship,PT,Ian White,91.77
11/04/2013,Grand Slam Qualifier,Q,,
11/17/2013,Grand Slam,U,Phil Taylor,104.2
11/23/2013,Players Championship,PT,Dave Chisnall,
11/24/2013,Players Championship,PT,Brendan Dolan,
11/25/2013,World Championship Tour Card Holder Qualifier,Q,Matt Clark,
12/01/2013,Players Championship Finals,MJ,Michael van Gerwen,99.53
01/01/2014,World Championship,WC,Michael van Gerwen,98.03
01/15/2014,PDC Tour Card Qualifying School,QS,,
01/16/2014,PDC Tour Card Qualifying School,QS,,
01/17/2014,PDC Tour Card Qualifying School,QS,,
01/18/2014,PDC Tour Card Qualifying School,QS,,
01/19/2014,European Tour UK Card Holder Qualifier,QU,,
01/19/2014,European Tour UK Card Holder Qualifier,QU,,
01/30/2014,European Tour EU Card Holder Qualifier,QE,,
01/30/2014,European Tour Home Nation Qualifier,QN,,
02/02/2014,European Tour 1,1,Gary Anderson,
02/07/2014,UK Open Qualifier 1,1,Andy Hamilton,105.27
02/08/2014,UK Open Qualifier 2,1,Stephen Bunting,96.38
02/09/2014,UK Open Qualifier 3,1,Phil Taylor,107.78
02/11/2014,European Tour Home Nation Qualifier,QN,,
02/13/2014,European Tour EU Card Holder Qualifier,QE,,
02/16/2014,European Tour 2,1,Michael van Gerwen,
02/21/2014,UK Open Qualifier 4,1,Brendan Dolan,
02/22/2014,UK Open Qualifier 5,1,Gary Anderson,106.47
02/23/2014,UK Open Qualifier 1,Q,,
02/23/2014,UK Open Qualifier 6,1,Michael van Gerwen,94.93
03/01/2014,Development Tour 1,-,Nick Kenny,
03/01/2014,Development Tour 2,-,Lewis Venes,
03/02/2014,Challenge Tour 1,-,Jamie Robinson,
03/02/2014,Challenge Tour 2,-,Ron Meulenkamp,
03/09/2014,UK Open,MJ,Adrian Lewis,102.37
03/15/2014,Players Championship 1,1,Gary Anderson,111.47
03/16/2014,Players Championship 2,1,Michael van Gerwen,95.64
03/21/2014,European Tour UK Card Holder Qualifier,QU,,
03/22/2014,Players Championship 3,1,Gary Anderson,105.81
03/23/2014,Players Championship 4,1,Phil Taylor,
03/29/2014,Development Tour 3,-,Mike Zuydwijk,
03/30/2014,Challenge Tour 3,-,Alan Tabern,
04/05/2014,Development Tour 4,-,Dimitri Van den Bergh,
04/06/2014,Challenge Tour 4,-,Matthew Edgar,
04/12/2014,Players Championship 5,1,Brendan Dolan,103.66
04/13/2014,Players Championship 6,1,Robert Thornton,
04/18/2014,European Tour EU Card Holder Qualifier,QE,,
04/18/2014,European Tour Home Nation Qualifier,QN,,
04/21/2014,European Tour 3,1,Phil Taylor,103.74
04/26/2014,Development Tour 5,-,Sam Hewson,
04/26/2014,Development Tour 6,-,George Killington,
04/27/2014,Challenge Tour 5,-,Colin Fowler,
04/27/2014,Challenge Tour 6,-,Colin Fowler,
05/02/2014,European Tour UK Card Holder Qualifier,QU,,
05/03/2014,Players Championship 7,1,Robert Thornton,
05/04/2014,Players Championship 8,1,Robert Thornton,
05/17/2014,Development Tour 7,-,Dimitri Van den Bergh,
05/17/2014,Development Tour 8,-,James Hubbard,
05/18/2014,Challenge Tour 7,-,Alex Roy,
05/18/2014,Challenge Tour 8,-,Alan Tabern,
05/22/2014,Premier League,U,Raymond van Barneveld,97.02
05/22/2014,World Youth Championship,-,Keegan Brown,85.67
05/23/2014,European Tour UK Card Holder Qualifier,QU,,
05/24/2014,Players Championship 9,1,Peter Wright,
05/25/2014,Players Championship 10,1,Terry Jenkins,
05/30/2014,Dubai Masters,U,Michael van Gerwen,99.64
05/31/2014,Development Tour 9,-,Adam Hunt,
05/31/2014,Development Tour 10,-,Nick Kenny,
06/01/2014,Challenge Tour 9,-,Alan Tabern,
06/01/2014,Challenge Tour 10,-,Jay Foreman,
06/08/2014,World Cup,U,,
06/13/2014,European Tour UK Card Holder Qualifier,QU,,
06/14/2014,Players Championship 11,1,Gary Anderson,
06/15/2014,Players Championship 12,1,Simon Whitlock,
06/19/2014,European Tour EU Card Holder Qualifier,QE,,
06/19/2014,European Tour Home Nation Qualifier,QN,,
06/22/2014,European Tour 4,1,Vincent van der Voort,
06/26/2014,European Tour EU Card Holder Qualifier,QE,,
06/26/2014,European Tour Home Nation Qualifier,QN,,
06/29/2014,European Tour 5,1,James Wade,
07/04/2014,European Tour UK Card Holder Qualifier,QU,,
07/04/2014,European Tour UK Card Holder Qualifier,QU,,
07/05/2014,Development Tour 11,-,Dean Reynolds,
07/05/2014,Development Tour 12,-,Reece Robinson,
07/06/2014,Challenge Tour 11,-,Mark Frost,
07/06/2014,Challenge Tour 12,-,Brett Claydon,
07/10/2014,European Tour EU Card Holder Qualifier,QE,,
07/10/2014,European Tour Home Nation Qualifier,QN,,
07/13/2014,European Tour 6,1,Peter Wright,98.97
07/27/2014,World Matchplay,MJ,Phil Taylor,103.92
08/16/2014,Singapore Darts Masters,U,Michael van Gerwen,100.44
08/24/2014,Perth Masters,U,Phil Taylor,104.55
08/30/2014,Sydney Masters,U,Phil Taylor,104.81
09/04/2014,European Tour EU Card Holder Qualifier,QE,,
09/04/2014,European Tour Home Nation Qualifier,QN,,
09/07/2014,European Tour 7,1,Mervyn King,92.08
09/13/2014,Players Championship 13,1,Gary Anderson,
09/14/2014,Players Championship 14,1,Michael van Gerwen,
09/18/2014,European Tour EU Card Holder Qualifier,QE,,
